{1, 70, {(4*Pi)/15, (3*Pi)/5, 4.1352304871606185}}
{2, 21, {Pi/15, Pi/3, 2.8454942388102378}}
{3, 12, {0, (11*Pi)/15, 3.5559324626084936}}
{4, 27, {Pi/15, (11*Pi)/15, 3.8700673881181733}}
{5, 29, {Pi/15, (13*Pi)/15, 3.276273683540116}}
{6, 21, {Pi/15, Pi/3, 1.7642438699294964}}
{7, 28, {Pi/15, (4*Pi)/5, 1.9659241756775256}}
{8, 29, {Pi/15, (13*Pi)/15, 3.1197031382105673}}
{9, 70, {(4*Pi)/15, (3*Pi)/5, 3.427633288820102}}
{10, 84, {Pi/3, (8*Pi)/15, 1.917677260891633}}
{11, 20, {Pi/15, (4*Pi)/15, 1.936126912663086}}
{12, 21, {Pi/15, Pi/3, 2.976766647133661}}
{13, 29, {Pi/15, (13*Pi)/15, 3.5598304207753015}}
{14, 84, {Pi/3, (8*Pi)/15, 2.631369171727224}}
{15, 96, {(2*Pi)/5, Pi/3, 2.8777740026665417}}
{16, 21, {Pi/15, Pi/3, 4.257572631494483}}
{17, 5, {0, (4*Pi)/15, 3.588140859177319}}
{18, 85, {Pi/3, (3*Pi)/5, 2.7039597621697693}}
{19, 39, {(2*Pi)/15, (8*Pi)/15, 2.3199760305832684}}
{20, 20, {Pi/15, (4*Pi)/15, 2.59579182983515}}
{21, 5, {0, (4*Pi)/15, 2.438389047855591}}
{22, 118, {(7*Pi)/15, (4*Pi)/5, 4.23707062664745}}
{23, 1, {0, 0, 0.13956623033146182}}
{24, 1, {0, 0, 0.13955436800921217}}
{25, 1, {0, 0, 0.13956928468948346}}
{26, 104, {(2*Pi)/5, (13*Pi)/15, 2.4714482274374117}}
{27, 57, {Pi/5, (11*Pi)/15, 2.4509036283040113}}
{28, 1, {0, 0, 0.13957013136261295}}
{29, 1, {0, 0, 0.13955943843265964}}
{30, 1, {0, 0, 0.13956474214388387}}
{31, 69, {(4*Pi)/15, (8*Pi)/15, 2.4351190614680553}}
