{1, 67, {(4*Pi)/15, (2*Pi)/5, 6.738975520708982}}
{2, 70, {(4*Pi)/15, (3*Pi)/5, 4.966257030454318}}
{3, 75, {(4*Pi)/15, (14*Pi)/15, 8.36786154880525}}
{4, 43, {(2*Pi)/15, (4*Pi)/5, 5.445846396766229}}
{5, 29, {Pi/15, (13*Pi)/15, 4.941001855343414}}
{6, 44, {(2*Pi)/15, (13*Pi)/15, 6.471716194979487}}
{7, 87, {Pi/3, (11*Pi)/15, 5.281076298145055}}
{8, 72, {(4*Pi)/15, (11*Pi)/15, 9.408153362725884}}
{9, 88, {Pi/3, (4*Pi)/5, 3.421722785124153}}
{10, 23, {Pi/15, (7*Pi)/15, 4.45627950514965}}
{11, 67, {(4*Pi)/15, (2*Pi)/5, 4.693750483636206}}
{12, 21, {Pi/15, Pi/3, 6.947544061242929}}
{13, 62, {(4*Pi)/15, Pi/15, 7.805170277121101}}
{14, 11, {0, (2*Pi)/3, 6.5399606125935925}}
{15, 86, {Pi/3, (2*Pi)/3, 7.563877200282599}}
{16, 54, {Pi/5, (8*Pi)/15, 3.739552260913527}}
{17, 4, {0, Pi/5, 5.344732296842684}}
{18, 64, {(4*Pi)/15, Pi/5, 4.924091772922261}}
{19, 18, {Pi/15, (2*Pi)/15, 3.816398299272079}}
{20, 7, {0, (2*Pi)/5, 5.8601642122068025}}
{21, 38, {(2*Pi)/15, (7*Pi)/15, 5.036508749054795}}
{22, 80, {Pi/3, (4*Pi)/15, 4.2469299821825315}}
{23, 30, {Pi/15, (14*Pi)/15, 2.2170817939654635}}
{24, 86, {Pi/3, (2*Pi)/3, 7.672830146879791}}
{25, 74, {(4*Pi)/15, (13*Pi)/15, 6.189158656491143}}
{26, 10, {0, (3*Pi)/5, 8.15343375015737}}
{27, 25, {Pi/15, (3*Pi)/5, 2.9519029006954693}}
{28, 95, {(2*Pi)/5, (4*Pi)/15, 6.243639228340043}}
{29, 64, {(4*Pi)/15, Pi/5, 3.2969610900594573}}
{30, 90, {Pi/3, (14*Pi)/15, 5.944332158513518}}
{31, 48, {Pi/5, (2*Pi)/15, 4.393625757194045}}
{32, 34, {(2*Pi)/15, Pi/5, 3.5383850595064508}}
{33, 56, {Pi/5, (2*Pi)/3, 2.831963082875079}}
{34, 40, {(2*Pi)/15, (3*Pi)/5, 3.513887261232934}}
{35, 51, {Pi/5, Pi/3, 10.737980692219995}}
{36, 4, {0, Pi/5, 3.779049893630714}}
{37, 28, {Pi/15, (4*Pi)/5, 2.9502778363395525}}
{38, 21, {Pi/15, Pi/3, 4.065432538924471}}
{39, 22, {Pi/15, (2*Pi)/5, 2.792178956182295}}
{40, 30, {Pi/15, (14*Pi)/15, 4.103389300161564}}
{41, 24, {Pi/15, (8*Pi)/15, 2.372043761130522}}
{42, 19, {Pi/15, Pi/5, 2.4764196426706144}}
{43, 99, {(2*Pi)/5, (8*Pi)/15, 4.167260807113051}}
{44, 52, {Pi/5, (2*Pi)/5, 3.0682642127453783}}
{45, 9, {0, (8*Pi)/15, 2.4527799378073842}}
{46, 56, {Pi/5, (2*Pi)/3, 4.065698609622484}}
{47, 85, {Pi/3, (3*Pi)/5, 5.537186000545254}}
{48, 69, {(4*Pi)/15, (8*Pi)/15, 3.545642745611495}}
{49, 26, {Pi/15, (2*Pi)/3, 2.327600005152791}}
{50, 97, {(2*Pi)/5, (2*Pi)/5, 3.67642575117709}}
{51, 28, {Pi/15, (4*Pi)/5, 5.449851673746902}}
{52, 86, {Pi/3, (2*Pi)/3, 3.4211036220533537}}
{53, 118, {(7*Pi)/15, (4*Pi)/5, 6.041731280834275}}
{54, 56, {Pi/5, (2*Pi)/3, 7.24465914661006}}
{55, 7, {0, (2*Pi)/5, 4.732764435065514}}
{56, 89, {Pi/3, (13*Pi)/15, 2.9039262446441487}}
{57, 65, {(4*Pi)/15, (4*Pi)/15, 2.017064964461415}}
{58, 29, {Pi/15, (13*Pi)/15, 2.1808068365776436}}
{59, 37, {(2*Pi)/15, (2*Pi)/5, 5.3477251442361755}}
{60, 109, {(7*Pi)/15, Pi/5, 3.865852695382236}}
{61, 66, {(4*Pi)/15, Pi/3, 2.7180405921275246}}
{62, 64, {(4*Pi)/15, Pi/5, 2.620550275554154}}
{63, 2, {0, Pi/15, 4.847740892532378}}
{64, 69, {(4*Pi)/15, (8*Pi)/15, 2.560639009994808}}
{65, 74, {(4*Pi)/15, (13*Pi)/15, 2.1584205439941586}}
{66, 30, {Pi/15, (14*Pi)/15, 4.526696601721472}}
{67, 67, {(4*Pi)/15, (2*Pi)/5, 3.1233409939095265}}
{68, 95, {(2*Pi)/5, (4*Pi)/15, 2.6150293416117383}}
{69, 92, {(2*Pi)/5, Pi/15, 5.573451204828039}}
{70, 6, {0, Pi/3, 3.2531299788334347}}
{71, 100, {(2*Pi)/5, (3*Pi)/5, 4.025047811608044}}
{72, 55, {Pi/5, (3*Pi)/5, 2.756089581919293}}
{73, 81, {Pi/3, Pi/3, 2.027727586765263}}
{74, 117, {(7*Pi)/15, (11*Pi)/15, 2.8942010482536715}}
{75, 37, {(2*Pi)/15, (2*Pi)/5, 2.4697062678350195}}
{76, 97, {(2*Pi)/5, (2*Pi)/5, 2.889165243208586}}
{77, 114, {(7*Pi)/15, (8*Pi)/15, 4.297180396855127}}
{78, 49, {Pi/5, Pi/5, 4.6411338344794455}}
{79, 45, {(2*Pi)/15, (14*Pi)/15, 2.9124500506000883}}
{80, 100, {(2*Pi)/5, (3*Pi)/5, 3.0353609380968933}}
{81, 57, {Pi/5, (11*Pi)/15, 2.022534967159273}}
{82, 108, {(7*Pi)/15, (2*Pi)/15, 2.915013398727961}}
{83, 51, {Pi/5, Pi/3, 2.4896433217539347}}
{84, 12, {0, (11*Pi)/15, 2.871956634489064}}
{85, 66, {(4*Pi)/15, Pi/3, 2.6002654307531756}}
{86, 24, {Pi/15, (8*Pi)/15, 2.4876994429123616}}
{87, 27, {Pi/15, (11*Pi)/15, 3.550432537400531}}
{88, 57, {Pi/5, (11*Pi)/15, 2.9498041450581303}}
{89, 41, {(2*Pi)/15, (2*Pi)/3, 3.134064440413908}}
{90, 56, {Pi/5, (2*Pi)/3, 3.1159901720439422}}
{91, 85, {Pi/3, (3*Pi)/5, 2.7578641835645974}}
{92, 39, {(2*Pi)/15, (8*Pi)/15, 2.266772278594542}}
{93, 75, {(4*Pi)/15, (14*Pi)/15, 10.606750541741015}}
{94, 85, {Pi/3, (3*Pi)/5, 6.178532255419709}}
{95, 72, {(4*Pi)/15, (11*Pi)/15, 2.8822724077680952}}
{96, 5, {0, (4*Pi)/15, 2.973828916873492}}
{97, 9, {0, (8*Pi)/15, 2.391487114502232}}
{98, 97, {(2*Pi)/5, (2*Pi)/5, 2.9979898338990387}}
{99, 41, {(2*Pi)/15, (2*Pi)/3, 3.5994481432338303}}
{100, 5, {0, (4*Pi)/15, 8.092452182686376}}
{101, 56, {Pi/5, (2*Pi)/3, 3.6788924031630916}}
{102, 54, {Pi/5, (8*Pi)/15, 2.4427807811537985}}
{103, 23, {Pi/15, (7*Pi)/15, 2.5278144355617345}}
{104, 30, {Pi/15, (14*Pi)/15, 3.639012053860215}}
{105, 120, {(7*Pi)/15, (14*Pi)/15, 2.3371198133441036}}
{106, 12, {0, (11*Pi)/15, 2.4870338548962407}}
{107, 50, {Pi/5, (4*Pi)/15, 2.647275285249098}}
{108, 117, {(7*Pi)/15, (11*Pi)/15, 4.608721688876263}}
{109, 27, {Pi/15, (11*Pi)/15, 2.4966888481307676}}
{110, 29, {Pi/15, (13*Pi)/15, 3.1222204556626663}}
{111, 45, {(2*Pi)/15, (14*Pi)/15, 4.121905573381466}}
{112, 22, {Pi/15, (2*Pi)/5, 2.6389592043677665}}
{113, 11, {0, (2*Pi)/3, 1.9689241944633953}}
{114, 105, {(2*Pi)/5, (14*Pi)/15, 5.060936320326821}}
{115, 54, {Pi/5, (8*Pi)/15, 3.603032136265929}}
{116, 69, {(4*Pi)/15, (8*Pi)/15, 4.129171754387427}}
{117, 48, {Pi/5, (2*Pi)/15, 2.346489601199537}}
{118, 117, {(7*Pi)/15, (11*Pi)/15, 3.503209926444909}}
{119, 81, {Pi/3, Pi/3, 3.196230480728602}}
{120, 36, {(2*Pi)/15, Pi/3, 3.6536944646626406}}
{121, 68, {(4*Pi)/15, (7*Pi)/15, 2.9786848060954574}}
{122, 71, {(4*Pi)/15, (2*Pi)/3, 2.3738134527367794}}
{123, 58, {Pi/5, (4*Pi)/5, 2.5644904259530596}}
{124, 92, {(2*Pi)/5, Pi/15, 3.1681688576555156}}
{125, 19, {Pi/15, Pi/5, 2.6498373040619585}}
{126, 4, {0, Pi/5, 3.2677100883266044}}
{127, 117, {(7*Pi)/15, (11*Pi)/15, 2.0121436787367926}}
{128, 56, {Pi/5, (2*Pi)/3, 5.052636594250642}}
{129, 30, {Pi/15, (14*Pi)/15, 3.551617807204259}}
{130, 70, {(4*Pi)/15, (3*Pi)/5, 1.6360436937248892}}
{131, 19, {Pi/15, Pi/5, 3.7879245308604728}}
{132, 39, {(2*Pi)/15, (8*Pi)/15, 2.502709576467961}}
{133, 67, {(4*Pi)/15, (2*Pi)/5, 3.0384387310509364}}
{134, 27, {Pi/15, (11*Pi)/15, 2.43070704608906}}
{135, 100, {(2*Pi)/5, (3*Pi)/5, 2.917311901092653}}
{136, 95, {(2*Pi)/5, (4*Pi)/15, 1.9836340761542868}}
{137, 86, {Pi/3, (2*Pi)/3, 2.1951553761484455}}
{138, 85, {Pi/3, (3*Pi)/5, 5.584636359987034}}
{139, 44, {(2*Pi)/15, (13*Pi)/15, 2.6336359343252544}}
